subjectid,flanker_rt,flanker_accuracy,flanker_error_rate,stroop_rt,stroop_accuracy,stroop_error_rate,sart_rt,sart_accuracy,sart_error_rate
139,440.62068965517244,1.0,0.0,665.8768115942029,0.9565217391304348,0.04347826086956519,485.5075376884422,0.9748743718592965,0.025125628140703515
140,381.93793103448274,1.0,0.0,582.4642857142857,0.9642857142857143,0.0357142857142857,283.09615384615387,0.9134615384615384,0.08653846153846156
141,374.3586206896552,0.9586206896551724,0.04137931034482756,665.3142857142857,0.9214285714285714,0.07857142857142863,286.3757225433526,0.9132947976878613,0.08670520231213874
142,338.2,0.9103448275862069,0.08965517241379306,694.014598540146,0.948905109489051,0.051094890510948954,292.6165803108808,0.9067357512953368,0.09326424870466321
144,429.82758620689657,0.993103448275862,0.006896551724137945,667.1928571428572,0.9428571428571428,0.05714285714285716,273.3243243243243,0.918918918918919,0.08108108108108103
145,525.0896551724138,1.0,0.0,914.758064516129,0.967741935483871,0.032258064516129004,558.453125,1.0,0.0
146,360.3379310344828,0.9655172413793104,0.03448275862068961,766.0962962962963,0.9777777777777777,0.022222222222222254,305.9807692307692,0.9375,0.0625
147,385.1448275862069,0.9724137931034482,0.02758620689655178,708.978102189781,0.9635036496350365,0.03649635036496346,339.72169811320754,0.9433962264150944,0.05660377358490565
148,391.22758620689655,0.9827586206896551,0.017241379310344862,784.3012345679012,0.9580246913580247,0.041975308641975295,354.73871733966746,0.9311163895486936,0.06888361045130642
149,345.97241379310344,0.9172413793103448,0.08275862068965523,749.927536231884,0.927536231884058,0.07246376811594202,279.9012345679012,0.9012345679012346,0.09876543209876543
150,425.21379310344827,0.993103448275862,0.006896551724137945,804.4420289855072,0.9710144927536232,0.02898550724637683,395.1027027027027,0.9459459459459459,0.05405405405405406
152,432.31724137931036,0.993103448275862,0.006896551724137945,893.5785714285714,0.9928571428571429,0.0071428571428571175,345.38916256157637,0.9458128078817734,0.054187192118226646
153,437.3241379310345,0.9862068965517241,0.01379310344827589,827.0948905109489,0.9781021897810219,0.021897810218978075,375.62745098039215,0.9803921568627451,0.019607843137254943
154,378.22758620689655,0.9655172413793104,0.03448275862068961,771.7214285714285,0.9714285714285714,0.02857142857142858,346.6179245283019,0.9386792452830188,0.061320754716981174
155,396.55172413793105,0.993103448275862,0.006896551724137945,977.3615384615384,0.9153846153846154,0.08461538461538465,506.0394088669951,0.9852216748768473,0.014778325123152691
156,367.8137931034483,0.9862068965517241,0.01379310344827589,691.1357142857142,0.9857142857142858,0.014285714285714235,495.6831683168317,0.9900990099009901,0.00990099009900991
157,521.1034482758621,0.993103448275862,0.006896551724137945,875.7388059701492,1.0,0.0,311.63592233009706,0.9174757281553398,0.08252427184466016
158,474.8758620689655,1.0,0.0,731.705035971223,0.9640287769784173,0.03597122302158273,420.14925373134326,0.9601990049751243,0.03980099502487566
159,449.70344827586206,0.993103448275862,0.006896551724137945,910.7264957264957,0.9401709401709402,0.05982905982905984,619.6464646464647,0.9949494949494949,0.005050505050505083
161,446.5655172413793,0.9655172413793104,0.03448275862068961,1170.1315789473683,0.9035087719298246,0.0964912280701754,314.9673202614379,0.8888888888888888,0.11111111111111116
162,1073.441379310345,0.503448275862069,0.496551724137931,696.8939393939394,0.8939393939393939,0.10606060606060608,435.17283950617286,0.9074074074074074,0.09259259259259256
163,397.04137931034484,0.9977011494252873,0.0022988505747126853,843.6370558375635,0.949238578680203,0.050761421319796995,354.02318392581145,0.919629057187017,0.08037094281298296
165,457.44827586206895,1.0,0.0,918.6764705882352,0.9926470588235294,0.007352941176470562,424.01477832512313,0.9704433497536946,0.029556650246305383
166,558.8965517241379,0.9862068965517241,0.01379310344827589,1179.7640449438202,0.8314606741573034,0.1685393258426966,381.5665024630542,0.9458128078817734,0.054187192118226646
167,378.77241379310345,0.9793103448275862,0.020689655172413834,570.0071428571429,0.9571428571428572,0.042857142857142816,297.99530516431923,0.9389671361502347,0.06103286384976525
168,367.8031496062992,0.9133858267716536,0.08661417322834641,772.4297520661157,0.7272727272727273,0.2727272727272727,332.6369426751592,0.9171974522292994,0.08280254777070062
169,438.4758620689655,0.9862068965517241,0.01379310344827589,1017.0153846153846,0.9692307692307692,0.03076923076923077,344.0,0.933649289099526,0.06635071090047395
