subjectid,flanker_rt,flanker_accuracy,flanker_error_rate,stroop_rt,stroop_accuracy,stroop_error_rate,sart_rt,sart_accuracy,sart_error_rate,stroop_rt_std,stroop_rt_mean_recalc,stroop_rt_median,stroop_congruent_rt,stroop_incongruent_rt,stroop_interference,flanker_rt_std,flanker_rt_mean_recalc,flanker_rt_median,flanker_congruent_rt,flanker_incongruent_rt,flanker_interference
72,451.0137931034483,0.9793103448275862,0.0206896551724138,931.2388059701492,0.9776119402985076,0.0223880597014924,377.22549019607845,0.965686274509804,0.034313725490196,446.4218346046312,984.8897058823529,874.0,920.9558823529412,1048.8235294117646,127.86764705882342,67.5282694588443,453.48591549295776,447.0,416.65277777777777,491.37142857142857,74.7186507936508
73,525.7172413793104,0.993103448275862,0.0068965517241379,732.773381294964,0.9820143884892086,0.0179856115107913,502.1453201970443,0.9704433497536946,0.0295566502463053,261.14819804167007,740.3490909090909,674.0,681.2826086956521,799.8467153284671,118.56410663281497,121.49039623075812,521.5833333333334,494.0,509.7103448275862,533.6223776223776,23.9120327947914
74,554.0551724137931,1.0,0.0,897.7625899280575,0.9712230215827338,0.0287769784172662,573.8855721393035,0.9850746268656716,0.0149253731343284,314.5487994948983,887.3555555555556,796.0,825.1029411764706,950.5373134328358,125.43437225636524,114.60395446628507,554.0551724137931,535.0,533.9459459459459,575.0140845070423,41.06813856109636
75,565.0068965517241,0.993103448275862,0.0068965517241379,697.3642857142858,0.9714285714285714,0.0285714285714285,376.1136363636364,0.8863636363636364,0.1136363636363636,222.73807267642374,697.3676470588235,626.5,666.2898550724638,729.3731343283582,63.08327925589447,135.01292349434374,566.1666666666666,535.5,527.4864864864865,607.0571428571428,79.57065637065637
76,466.8137931034483,1.0,0.0,829.5251798561151,0.9784172661870504,0.0215827338129496,301.22872340425533,0.9361702127659576,0.0638297872340425,294.34419339668676,841.1021897810219,802.0,790.4705882352941,891.0,100.52941176470586,103.88588732935241,466.8137931034483,442.0,434.85135135135135,500.1267605633803,65.27540921202893
77,391.5517241379311,0.8275862068965517,0.1724137931034483,635.9,0.8857142857142857,0.1142857142857143,394.4475524475524,0.8951048951048951,0.1048951048951049,256.54601239902166,631.9274193548387,576.0,585.5294117647059,688.2678571428571,102.73844537815125,132.38684058555097,406.0416666666667,386.0,376.5217391304348,445.98039215686276,69.45865302642795
78,444.36551724137934,0.993103448275862,0.0068965517241379,817.35,0.9785714285714284,0.0214285714285714,356.68837209302325,0.9116279069767442,0.0883720930232557,224.2290740545314,809.5255474452555,758.0,764.7941176470588,853.6086956521739,88.8145780051151,78.45631093373066,444.5763888888889,430.0,436.28767123287673,453.09859154929575,16.810920316419015
79,457.6896551724138,1.0,0.0,1033.7519379844962,0.992248062015504,0.0077519379844961,476.0,0.9852216748768472,0.0147783251231526,501.00670388569785,1131.072463768116,1046.5,1103.4,1159.5588235294117,56.15882352941162,52.10173238234386,457.6896551724138,453.0,437.7,476.3466666666667,38.646666666666704
80,431.9218390804598,0.9770114942528736,0.0229885057471264,657.0464285714286,0.9642857142857144,0.0357142857142857,350.38461538461536,0.9148351648351648,0.0851648351648352,170.96448209323708,654.2296296296296,612.5,633.0902255639098,674.7518248175182,41.661599253608415,85.45489148941243,432.2258823529412,423.0,412.6093023255814,452.3095238095238,39.700221483942414
81,413.5172413793104,1.0,0.0,672.6714285714286,0.9714285714285714,0.0285714285714285,306.4579439252336,0.9299065420560748,0.0700934579439251,220.0626168564089,673.4852941176471,633.0,615.1857142857143,735.3181818181819,120.13246753246756,59.63652677403754,413.51724137931035,404.0,400.05555555555554,426.7945205479452,26.73896499238964
82,392.6758620689655,0.993103448275862,0.0068965517241379,580.0428571428571,0.9785714285714284,0.0214285714285714,389.4782608695652,0.961352657004831,0.038647342995169,152.40792256459352,581.8467153284671,537.0,544.8235294117648,618.3333333333334,73.50980392156862,40.976645422551016,392.6388888888889,392.0,373.68,413.2463768115942,39.56637681159418
83,353.77241379310345,0.9758620689655172,0.0241379310344828,655.9208633093525,0.9676258992805756,0.0323741007194244,302.7294117647059,0.9294117647058824,0.0705882352941176,234.8191343515087,664.1217712177122,617.0,632.9044117647059,695.5703703703704,62.665958605664514,53.58778478248464,356.0424028268551,352.0,342.67808219178085,370.2846715328467,27.606589341065842
